user_id,cohort,total_amount,paid_at
964.0,2020-05,5.0,2020-09-15 15:34:33.254875+00:00
964.0,2020-05,5.0,2020-09-15 15:34:33.757022+00:00
95574.0,2020-10,5.0,2020-11-12 05:20:33.128736+00:00
9748.0,2020-06,5.0,2020-08-01 06:54:06.720219+00:00
9199.0,2020-06,5.0,2021-01-05 08:12:55.139828+00:00
9199.0,2020-06,5.0,2021-01-05 08:12:55.161037+00:00
9199.0,2020-06,5.0,2021-01-05 08:12:55.091987+00:00
9199.0,2020-06,5.0,2021-01-05 08:12:55.115541+00:00
32634.0,2020-10,5.0,2021-01-06 05:02:15.383567+00:00
41200.0,2020-10,5.0,2021-01-09 05:39:07.676185+00:00
74867.0,2020-10,5.0,2020-12-05 06:01:02.411124+00:00
5015.0,2020-05,5.0,2020-07-07 02:00:18.839783+00:00
10525.0,2020-06,5.0,2020-06-29 03:24:39.354921+00:00
10525.0,2020-06,5.0,2020-07-28 12:16:57.499420+00:00
11722.0,2020-05,5.0,2020-07-03 01:49:04.322168+00:00
35583.0,2020-08,5.0,2020-09-01 10:11:09.061272+00:00
35583.0,2020-08,5.0,2020-09-29 19:52:38.934298+00:00
11905.0,2020-05,5.0,2020-07-08 02:21:21.968733+00:00
421.0,2020-05,5.0,2020-07-07 19:03:00.771145+00:00
5296.0,2020-05,5.0,2020-08-06 10:54:01.526511+00:00
4825.0,2020-05,5.0,2020-07-08 22:50:48.814699+00:00
17745.0,2020-08,5.0,2020-09-04 19:27:35.821742+00:00
88936.0,2020-10,5.0,2020-11-13 04:47:41.777461+00:00
15273.0,2020-08,5.0,2020-09-03 18:56:57.521855+00:00
69177.0,2020-10,5.0,2020-11-03 19:43:12.516800+00:00
9249.0,2020-05,5.0,2020-07-10 22:52:13.359006+00:00
19737.0,2020-06,5.0,2020-06-27 05:07:01.780720+00:00
10142.0,2020-05,5.0,2020-07-03 22:26:45.121972+00:00
9297.0,2020-06,5.0,2020-06-25 12:44:58.647425+00:00
9297.0,2020-06,5.0,2020-07-06 22:20:40.171535+00:00
9297.0,2020-06,5.0,2020-09-05 23:39:38.565563+00:00
5206.0,2020-07,5.0,2020-08-04 10:25:37.104983+00:00
5206.0,2020-07,5.0,2020-09-24 15:08:09.131837+00:00
5206.0,2020-07,5.0,2020-10-24 20:14:30.568907+00:00
12513.0,2020-07,5.0,2020-08-26 10:16:16.962922+00:00
12513.0,2020-07,5.0,2020-10-05 15:42:50.376674+00:00
14591.0,2020-07,5.0,2020-07-13 09:26:45.043937+00:00
14591.0,2020-07,5.0,2020-08-04 14:31:44.424258+00:00
26619.0,2020-10,5.0,2020-12-02 14:15:07.510301+00:00
20676.0,2020-07,5.0,2020-09-23 03:35:42.705969+00:00
20676.0,2020-07,5.0,2020-09-23 03:35:43.725858+00:00
2305.0,2020-06,5.0,2020-07-08 22:23:48.716843+00:00
12389.0,2020-10,5.0,2020-10-27 09:15:48.647534+00:00
2715.0,2020-06,5.0,2020-08-06 09:51:16.738139+00:00
22160.0,2020-07,5.0,2020-07-18 22:42:46.066338+00:00
22160.0,2020-07,5.0,2020-08-17 18:22:20.479212+00:00
138.0,2020-05,5.0,2020-06-28 12:10:22.307007+00:00
7445.0,2020-05,5.0,2020-07-03 22:27:54.518807+00:00
18352.0,2020-07,5.0,2020-07-31 03:16:14.546102+00:00
18352.0,2020-07,5.0,2020-09-04 18:23:35.458433+00:00
11318.0,2020-05,5.0,2020-07-03 22:27:52.904373+00:00
18903.0,2020-10,5.0,2021-01-07 00:30:17.908096+00:00
2602.0,2020-05,5.0,2020-06-24 22:27:13.741898+00:00
8866.0,2020-08,5.0,2020-09-16 19:58:08.614869+00:00
16360.0,2020-06,5.0,2020-07-22 05:38:43.730513+00:00
16360.0,2020-06,5.0,2020-06-25 12:12:09.014573+00:00
8866.0,2020-10,5.0,2020-11-13 11:37:59.940853+00:00
33064.0,2020-08,5.0,2020-09-16 11:03:26.794671+00:00
33064.0,2020-08,5.0,2020-09-16 11:03:26.301122+00:00
47.0,2020-05,5.0,2020-07-14 14:59:48.909393+00:00
16459.0,2020-06,5.0,2020-08-19 09:02:35.104653+00:00
16459.0,2020-06,5.0,2020-08-19 09:02:35.865237+00:00
11064.0,2020-05,5.0,2020-07-06 12:14:36.671769+00:00
7739.0,2020-07,5.0,2021-01-04 15:20:28.026424+00:00
7739.0,2020-07,5.0,2021-01-04 15:20:28.007321+00:00
810.0,2020-06,5.0,2020-08-10 10:00:53.642575+00:00
26388.0,2020-10,5.0,2020-11-05 18:50:09.864466+00:00
26388.0,2020-10,5.0,2020-10-20 19:55:16.887979+00:00
5299.0,2020-07,5.0,2020-12-15 10:01:54.641108+00:00
5299.0,2020-07,5.0,2020-12-15 10:01:54.664084+00:00
5299.0,2020-07,5.0,2020-12-15 10:01:54.615033+00:00
20842.0,2020-06,5.0,2020-06-24 03:15:08.676595+00:00
3255.0,2020-07,5.0,2020-09-15 09:30:16.104317+00:00
3255.0,2020-07,5.0,2020-09-15 09:30:16.726990+00:00
82520.0,2020-10,5.0,2021-01-05 02:05:31.700345+00:00
9452.0,2020-09,5.0,2020-10-01 19:47:55.887141+00:00
34487.0,2020-09,5.0,2020-10-06 19:35:29.157739+00:00
33866.0,2020-07,5.0,2020-11-06 00:53:14.336960+00:00
33866.0,2020-07,5.0,2020-07-27 13:10:18.916859+00:00
33866.0,2020-07,5.0,2020-09-05 12:01:36.394630+00:00
30907.0,2020-09,5.0,2020-10-06 19:35:38.084809+00:00
76376.0,2020-10,5.0,2020-11-06 19:32:17.942005+00:00
16356.0,2020-06,5.0,2020-07-24 10:38:16.464115+00:00
13778.0,2020-10,5.0,2020-11-12 06:12:23.613537+00:00
16730.0,2020-06,5.0,2020-12-07 12:53:04.613128+00:00
16730.0,2020-06,5.0,2020-12-07 12:53:04.651561+00:00
16730.0,2020-06,5.0,2020-12-07 12:53:04.633394+00:00
16730.0,2020-06,5.0,2020-12-07 12:53:04.668880+00:00
